name,description
"프론트엔드 개발자","OAuth 2.0을 활용하여 소셜 로그인(카카오, 구글 등) 기능을 구현하고, 사용자 인증 과정을 간소화합니다."
"프론트엔드 개발자","Chart.js나 Recharts와 같은 라이브러리를 사용하여, 관리자 페이지(백오피스)에 필요한 데이터 시각화 대시보드를 구축합니다."
"프론트엔드 개발자","React의 Context API 또는 전역 상태관리 라이브러리를 활용하여 애플리케이션의 상태를 관리하고, 컴포넌트 간 데이터 흐름을 구현합니다."
"프론트엔드 개발자","JavaScript의 DOM 조작, 이벤트 모델 등 핵심 개념을 이해하고 동적인 웹 페이지를 구현합니다."
"프론트엔드 개발자","Tailwind CSS의 유틸리티 클래스를 활용하여 반응형 디자인을 적용하고, UI 프레임워크를 이용해 UI를 제작합니다."
"프론트엔드 개발자","React의 커스텀 훅과 Context API, Redux Toolkit 등 전역 상태 관리 라이브러리를 사용하여 애플리케이션의 상태를 관리합니다."
"프론트엔드 개발자","Fetch 또는 Axios를 사용하여 백엔드 API와 비동기 통신을 하고, 응답 데이터를 화면에 렌더링합니다."
"프론트엔드 개발자","React Query를 활용하여 서버 데이터를 캐싱하고, 데이터 동기화와 관련된 상태를 효율적으로 관리합니다."
"프론트엔드 개발자","Next.js의 라우팅 및 데이터 페칭(Data Fetching) 기능을 학습하고, 서버/클라이언트 컴포넌트의 차이를 이해합니다."

"앱 개발자","Kotlin, Swift, Flutter 등 다양한 기술을 사용하여 사용자의 손안에 있는 스마트폰 세상에서 가장 직관적이고 빠른 경험을 제공하는 모바일 전문가입니다."
"앱 개발자","XML 레이아웃(Android) 또는 SwiftUI/Storyboard(iOS)를 사용하여 앱의 화면 UI를 구성합니다."
"앱 개발자","RecyclerView/LazyColumn 또는 UITableView/List를 사용하여 여러 데이터를 목록 형태로 보여주는 화면을 구현합니다."
"앱 개발자","Intent(Android) 또는 NavigationController/NavigationStack(iOS)을 사용하여 화면 간의 전환 로직을 구현합니다."
"앱 개발자","Retrofit(Android)이나 URLSession(iOS)을 이용해 외부 API를 호출하고, 응답 데이터를 파싱하여 앱에 표시합니다."
"앱 개발자","SQLite나 Room, CoreData와 같은 로컬 데이터베이스를 사용하여 사용자의 데이터를 기기에 저장하고 관리하는 기능을 개발합니다."
"앱 개발자","Dart 언어의 기본 문법을 익히고, Flutter의 Stateless/Stateful Widget을 사용하여 앱의 화면을 구성합니다."
"앱 개발자","Provider, Bloc과 같은 상태 관리 패턴을 학습하여 앱의 데이터 흐름을 체계적으로 관리합니다."
"앱 개발자","화면 전환(Navigation) 로직을 구현하고, 네트워크 통신을 통해 서버로부터 데이터를 받아와 화면에 표시합니다."
"앱 개발자","페이징 처리를 구현하여 대량의 데이터를 효율적으로 로드하고, 사용자 입력에 대한 유효성 검사 및 예외 처리를 수행합니다."

"AI 개발자","데이터와 머신러닝/딥러닝 모델을 활용하여 예측, 추천, 분류, 생성 등 지능적인 기능을 구현하고, 제품과 비즈니스의 새로운 가치를 창출하는 문제 해결사입니다."
"AI 개발자","Pandas와 NumPy를 사용하여 데이터셋의 결측치를 처리하고, 모델 학습에 적합한 형태로 데이터를 정제 및 전처리합니다."
"AI 개발자","Scikit-learn 라이브러리를 활용하여 간단한 회귀 또는 분류 모델을 학습시키고, 모델의 성능을 평가합니다."
"AI 개발자","Hugging Face에 공개된 사전 학습 모델(Pre-trained Model)을 로드하여, 특정 자연어 처리나 이미지 분류 태스크에 활용합니다."
"AI 개발자","Flask 또는 FastAPI를 사용하여 학습된 머신러닝 모델을 서빙하는 간단한 API 엔드포인트를 구축합니다."
"AI 개발자","Matplotlib나 Seaborn을 이용해 데이터의 분포를 시각화하고, 모델의 예측 결과를 그래프로 표현하여 분석합니다."
"AI 개발자","Flask 또는 FastAPI를 사용하여 학습된 머신러닝 모델을 서빙하는 간단한 API 엔드포인트를 구축합니다."

"데브옵스 & 인프라","개발과 운영의 경계를 허물고, CI/CD 파이프라인과 코드형 인프라(IaC)를 통해 서비스의 배포 속도와 안정성이라는 두 마리 토끼를 모두 잡는 자동화 전문가입니다."
"데브옵스 & 인프라","간단한 웹 애플리케이션을 위한 Dockerfile을 작성하여 컨테이너 이미지를 빌드하고 실행합니다."
"데브옵스 & 인프라","GitHub Actions를 사용하여 Git 저장소에 코드가 푸시될 때, 자동으로 빌드와 테스트가 실행되는 기본적인 CI 파이프라인을 설정합니다."
"데브옵스 & 인프라","쉘 스크립트를 작성하여 로그 파일 백업, 서버 상태 확인 등 반복적인 서버 관리 작업을 자동화합니다."
"데브옵스 & 인프라","Nginx를 사용하여 특정 포트로 들어오는 요청을 애플리케이션으로 전달하는 리버스 프록시를 설정합니다."
"데브옵스 & 인프라","AWS EC2 인스턴스를 생성하고, 보안 그룹을 설정하여 특정 IP 주소와 포트에서만 접근 가능하도록 구성합니다."

"데이터 엔지니어","데이터가 원활하게 흐르는 파이프라인을 구축하고 관리하여, 방대한 양의 원석 같은 데이터를 분석가나 AI 모델이 사용할 수 있는 보석으로 가공하는 데이터의 연금술사입니다."
"데이터 엔지니어","Python 스크립트를 작성하여 CSV, JSON 등 다양한 형식의 파일을 읽고, Pandas를 이용해 데이터를 정제 및 가공합니다."
"데이터 엔지니어","SQL 쿼리를 작성하여 데이터베이스에 테이블을 생성하고, 데이터를 삽입, 조회, 갱신, 삭제하는 기본적인 데이터 관리 작업을 수행합니다."
"데이터 엔지니어","웹 크롤링을 통해 데이터를 수집하거나, 공공 API를 호출하여 데이터를 수집하고 데이터베이스에 저장하는 파이프라인을 구축합니다."
"데이터 엔지니어","BI 도구를 사용하여 데이터를 시각화하고, 탐색적 데이터 분석(EDA)을 통해 데이터의 분포와 특징을 파악하여 인사이트를 도출합니다."

"UIUX 디자이너","사용자에 대한 깊은 이해를 바탕으로, 단순한 '기능'을 '편리하고 즐거운 경험'으로 전환하는 시각적 설계와 사용자 여정을 책임지는 아티스트입니다."
"UIUX 디자이너","Figma, Sketch를 사용하여 모바일 앱 또는 웹사이트의 핵심 기능에 대한 와이어프레임을 제작합니다."
"UIUX 디자이너","와이어프레임을 기반으로 사용자의 주요 행동 흐름을 확인할 수 있는 인터랙티브 프로토타입을 제작합니다."
"UIUX 디자이너","서비스의 브랜드 아이덴티티에 맞는 컬러 팔레트, 타이포그래피, 아이콘 등 기본 디자인 시스템 컴포넌트를 정의합니다."
"UIUX 디자이너","주요 경쟁 서비스를 분석하고, 사용자 인터페이스의 장단점을 비교하여 디자인 개선 아이디어를 도출합니다."
"UIUX 디자이너","사용자 페르소나와 여정 맵(Journey Map)을 작성하여, 타겟 사용자의 특징과 서비스 이용 과정을 시각적으로 정의합니다."
"UIUX 디자이너","디자인 시스템의 기본 원리를 이해하고, 컬러, 타이포그래피, 컴포넌트를 정의하여 일관된 UI를 설계합니다."
"UIUX 디자이너","더블 다이아몬드 모델에 기반하여, 사용자 리서치부터 문제 정의, 아이디에이션, 프로토타이핑에 이르는 논리적인 UX 설계 방법을 학습합니다."

"게임 개발자","Unity, Unreal Engine과 같은 게임 엔진을 사용하여 플레이어를 몰입시키는 가상의 세계와 규칙을 만들고, '재미'라는 최고의 경험을 코드로 구현하는 창조자입니다."
"게임 개발자","Unity와 C#을 사용하여 플레이어 캐릭터의 이동, 점프, 공격 등 기본적인 조작 로직을 구현합니다."
"게임 개발자","게임의 시작, 일시정지, 종료를 관리하는 기본적인 게임 루프(Game Loop)와 씬(Scene) 전환을 구현합니다."
"게임 개발자","UGUI(Unity UI)를 사용하여 메인 메뉴, 점수판, 체력 바 등 게임의 사용자 인터페이스(UI)를 제작합니다."
"게임 개발자","에셋 스토어에서 다운로드한 2D/3D 리소스를 프로젝트에 적용하고, 애니메이션 컨트롤러를 설정하여 캐릭터 애니메이션을 재생합니다."
"게임 개발자","Unlit, Toon, Dissolve 등 다양한 셰이더를 작성하여 게임의 시각적 효과를 구현하고 최적화합니다."
"게임 개발자","Photon이나 Netcode를 사용하여 간단한 멀티플레이어 게임의 동기화 로직을 구현합니다."
"게임 개발자","A* 경로 찾기, 유한 상태 기계(FSM)와 같은 게임 AI 알고리즘을 학습하고, 간단한 적(Enemy) AI를 구현합니다."

"마케터","데이터 분석을 기반으로 고객을 이해하고, 창의적인 전략을 통해 우리 제품의 가치를 알려 새로운 고객을 유치하고 브랜드의 성장을 이끄는 동력입니다."
"마케터","제품이나 서비스를 홍보하기 위한 블로그 게시물, 카드뉴스 등 소셜 미디어 콘텐츠를 기획하고 제작합니다."
"마케터","구글 애널리틱스를 사용하여 웹사이트의 주요 지표(방문자 수, 이탈률, 페이지뷰 등)를 확인하고, 주간 리포트를 작성합니다."
"마케터","소액의 예산으로 페이스북 또는 인스타그램 광고 캠페인을 설정하고, 타겟 고객에게 광고를 노출시킨 경험이 있습니다."
"마케터","경쟁사 또는 관련 업계의 소셜 미디어 채널을 분석하여, 콘텐츠 전략과 마케팅 활동을 벤치마킹합니다."
"마케터","웹 크롤링 또는 API를 활용하여 마케팅에 필요한 데이터를 수집하고, Pandas를 이용해 분석 가능한 형태로 전처리합니다."
"마케터","AARRR 프레임워크에 기반하여 사용자의 행동 데이터를 분석하고, 각 퍼널 단계의 전환율을 개선하기 위한 가설을 수립합니다."
"마케터","메타(페이스북), 구글 애즈 등 광고 플랫폼을 활용해 광고 캠페인을 설정하고, 성과 지표(CTR, CPA)를 분석합니다."
"마케터","CRM 도구의 기본 원리를 이해하고, 고객을 세분화하여 개인화된 메시지를 전달하는 리텐션 전략을 학습합니다."

"사업개발 매니저","시장의 기회를 포착하고, 전략적인 파트너십을 통해 새로운 비즈니스 모델을 만들거나 기존 사업을 확장하며 회사의 미래 성장 지도를 그리는 전략가입니다."
"사업개발 매니저","신규 사업 아이템의 시장성을 검증하기 위해, 시장 규모, 경쟁사 현황, 타겟 고객에 대한 리서치를 수행하고 보고서를 작성합니다."
"사업개발 매니저","잠재적 제휴사에 대한 정보를 수집하고, 산업별/규모별로 분류하여 잠재 파트너 리스트를 작성합니다."
"사업개발 매니저","자사 서비스 소개 및 제휴 제안을 위한 기본적인 제안서를 PPT 또는 문서 형태로 작성합니다."
"사업개발 매니저","IT 산업 관련 뉴스, 트렌드 리포트를 주기적으로 모니터링하고, 주요 동향을 요약하여 팀에 공유합니다."
"사업개발 매니저","간단한 CRM 툴이나 스프레드시트를 활용하여 잠재 고객 및 파트너와의 커뮤니케이션 현황을 기록하고 관리합니다."

"클라우드 엔지니어","AWS, GCP, Azure와 같은 클라우드 환경 위에, 안정적이고 확장 가능하며 비용 효율적인 서비스 인프라를 설계하고 구축하는 현대적인 아키텍트입니다."
"클라우드 엔지니어","AWS EC2, GCP Compute Engine 등 클라우드 가상 서버를 생성하고, 웹 서버(Apache, Nginx)를 설치하여 정적 웹페이지를 호스팅합니다."
"클라우드 엔지니어","AWS S3, Google Cloud Storage와 같은 오브젝트 스토리지를 사용하여 이미지나 정적 파일을 저장하고, 웹에서 접근 가능하도록 설정합니다."
"클라우드 엔지니어","VPC, 서브넷, 보안 그룹 등 기본적인 클라우드 네트워크 환경을 구성하여 안전한 서비스 기반을 마련합니다."
"클라우드 엔지니어","AWS RDS, Google Cloud SQL 등 관리형 데이터베이스 서비스를 생성하고, 애플리케이션 서버와 연결합니다."
"클라우드 엔지니어","AWS EC2, S3, RDS 등 핵심 서비스를 사용하여 클라우드 기반의 인프라를 구축하는 방법을 학습합니다."
"클라우드 엔지니어","Kubernetes의 기본 아키텍처를 이해하고, Amazon EKS 클러스터에 애플리케이션을 배포하고 관리합니다."
"클라우드 엔지니어","Terraform과 같은 코드형 인프라(IaC) 도구를 사용하여 인프라 생성을 자동화하는 방법을 학습합니다."
"클라우드 엔지니어","온프레미스와 AWS 클라우드를 연결하는 하이브리드 네트워크 환경을 구성하는 프로젝트를 경험합니다."

"임베디드 개발자","하드웨어의 제약을 이해하고, 제한된 자원 속에서 최적화된 코드를 작성하여 특정 목적을 가진 기기(IoT, 자동차, 가전 등)에 생명을 불어넣는 전문가입니다."
"임베디드 개발자","아두이노 또는 라즈베리 파이 환경에서 C/C++를 사용하여 LED를 켜고 끄거나, 버튼 입력을 감지하는 펌웨어를 작성합니다."
"임베디드 개발자","온습도 센서, 초음파 센서 등 간단한 센서 모듈의 데이터시트를 읽고, 라이브러리를 활용하여 센서 값을 읽어옵니다."
"임베디드 개발자","UART 시리얼 통신을 구현하여, 임베디드 보드와 PC 간에 데이터를 주고받는 프로그램을 작성합니다."
"임베디드 개발자","GPIO 핀을 직접 제어하여 여러 개의 LED를 순차적으로 점등시키는 등 기본적인 하드웨어 제어를 수행합니다."
"임베디드 개발자","간단한 모터 드라이버를 사용하여 DC 모터 또는 서보 모터의 회전 방향과 속도를 제어합니다."
AI 개발자,NoteMe 서비스 고도화 및 신규 기능 개발을 위한 프롬프트 엔지니어링 및 RAG 연구 | 가상 면접 솔루션 관련 LLM Agent 연구 및 개발
AI 개발자,"AI-OCR 시스템 구축 및 운영 | LLM 기반 AI 시스템 또는 Agent Workflow 시스템 개발 | MLOps, LLMOps 환경 구축 및 운영 | RAG 시스템 인프라 설계 및 구축 | 데이터 파이프라인 구축"
AI 개발자,RAG 기반 인재 데이터 핵심 경험 역량 정의 | 고객사가 만족하는 SaaS & ATS API 설계 및 구현 | 백엔드 제품에 대한 DRI로서 서비스 관리 | 신생 기술 실험 및 도입 | 외부 데이터 수집 파이프라이닝 구축
